RADICADO,FECHA,HORA,DÍA DE LA SEMANA,CLASE DE VEHICULO,TIPO DE SERVICIO,TIPO DE VICTIMA,SEXO,ESTADO DE BEODEZ,RESULTADO DE BEODEZ,GRAVEDAD,CLASE DE ACCIDENTE,CAUSA,DIRECCIÓN,BARRIO,AREA,Coordenadas
2173368,11/11/2017,5:30 p.m.,sábado,CAMIONETA,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Tramo 372 Kilometro  14,VEREDA PALMAS,Rural,
2173368,11/11/2017,5:30 p.m.,sábado,CAMIONETA,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Tramo 372 Kilometro  14,VEREDA PALMAS,Rural,
2173436,11/11/2017,9:40 p.m.,sábado,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,SOLO DAÑOS,Choque,Exceso de velocidad,Calle 40  Sur Carrera 25,EL SALADO,Urbana,"(6.153533784, -75.578684296)"
2173436,11/11/2017,9:40 p.m.,sábado,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,SOLO DAÑOS,Choque,Exceso de velocidad,Calle 40  Sur Carrera 25,EL SALADO,Urbana,"(6.153533784, -75.578684296)"
2173413,11/11/2017,2:30 p.m.,sábado,AUTOMOVIL,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Desobedecer senales,Calle 40 C Sur Carrera 30 A,LA MINA,Urbana,"(6.161689933, -75.583404716)"
2173413,11/11/2017,2:30 p.m.,sábado,BUS,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Desobedecer senales,Calle 40 C Sur Carrera 30 A,LA MINA,Urbana,"(6.161689933, -75.583404716)"
2173388,11/11/2017,12:30 p.m.,sábado,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Adelantar cerrando,Carrera 48 Calle 30  Sur,LAS VEGAS,Urbana,"(6.179366643, -75.588084104)"
2173388,11/11/2017,12:30 p.m.,sábado,CAMION,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Adelantar cerrando,Carrera 48 Calle 30  Sur,LAS VEGAS,Urbana,"(6.179366643, -75.588084104)"
2173379,11/11/2017,2:20 p.m.,sábado,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,SOLO DAÑOS,Choque,Desobedecer senales,Transversal 34 A Sur Diagonal 33,LA MAGNOLIA,Urbana,"(6.172257269, -75.583756268)"
2173379,11/11/2017,2:20 p.m.,sábado,CAMION,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Desobedecer senales,Transversal 34 A Sur Diagonal 33,LA MAGNOLIA,Urbana,"(6.172257269, -75.583756268)"
2173405,11/11/2017,6:30 a.m.,sábado,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,SOLO DAÑOS,Choque,No respetar prelacion,Carrera 49 A Calle 46 A Sur,LAS VEGAS,Urbana,"(6.167871749, -75.602138766)"
2173405,11/11/2017,6:30 a.m.,sábado,BUS,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No respetar prelacion,Carrera 49 A Calle 46 A Sur,LAS VEGAS,Urbana,"(6.167871749, -75.602138766)"
2173396,11/11/2017,7:50 p.m.,sábado,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Adelantar invadiendo carril del mismo sentido en zigzag,Carrera 48 Calle 38 A Sur,LAS VEGAS,Urbana,"(6.172315595, -75.59309025)"
2173396,11/11/2017,7:50 p.m.,sábado,BUSETA,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No respetar pelacion de interseccion o giros,Carrera 48 Calle 38 A Sur,LAS VEGAS,Urbana,"(6.172315595, -75.59309025)"
2173396,11/11/2017,7:50 p.m.,sábado,BUSETA,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Adelantar invadiendo carril del mismo sentido en zigzag,Carrera 48 Calle 38 A Sur,LAS VEGAS,Urbana,"(6.172315595, -75.59309025)"
2173396,11/11/2017,7:50 p.m.,sábado,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No respetar pelacion de interseccion o giros,Carrera 48 Calle 38 A Sur,LAS VEGAS,Urbana,"(6.172315595, -75.59309025)"
2173401,11/11/2017,2:00 p.m.,sábado,CAMIONETA,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Adelantar cerrando,Carrera 39 Calle 34 D Sur,LOS NARANJOS,Urbana,"(6.170341462, -75.584029411)"
2173401,11/11/2017,2:00 p.m.,sábado,CAMIONETA,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Adelantar invadiendo carril del mismo sentido en zigzag,Carrera 39 Calle 34 D Sur,LOS NARANJOS,Urbana,"(6.170341462, -75.584029411)"
2173401,11/11/2017,2:00 p.m.,sábado,MOTOCICLETA,PARTICULAR,Motociclista,Femenino,NO,N/A,SOLO DAÑOS,Choque,Adelantar cerrando,Carrera 39 Calle 34 D Sur,LOS NARANJOS,Urbana,"(6.170341462, -75.584029411)"
2173389,11/11/2017,8:00 a.m.,sábado,AUTOMOVIL,PARTICULAR,Conductor,Femenino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Diagonal 31 Transversal 33 A Sur,LAS FLORES,Urbana,"(6.173761816, -75.578919701)"
2173389,11/11/2017,8:00 a.m.,sábado,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Diagonal 31 Transversal 33 A Sur,LAS FLORES,Urbana,"(6.173761816, -75.578919701)"
2173391,11/11/2017,1:00 a.m.,sábado,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,HERIDO,Caida Ocupante,Impericia en el manejo,Carrera 48 Calle 50  Sur,LAS VEGAS,Urbana,
2173403,11/11/2017,1:00 p.m.,sábado,AUTOMOVIL,PARTICULAR,Conductor,Femenino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 27 Calle 23  Sur,LA INMACULADA,Urbana,"(6.176588834, -75.567445991)"
2173403,11/11/2017,1:00 p.m.,sábado,AUTOMOVIL,PARTICULAR,Conductor,Femenino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 27 Calle 23  Sur,LA INMACULADA,Urbana,"(6.176588834, -75.567445991)"
2173371,11/11/2017,1:00 p.m.,sábado,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Poner en marcha un vehiculo sin precauci,Transversal 36  Sur Diagonal 32,LOS NARANJOS,Urbana,"(6.168381521, -75.580644557)"
2173371,11/11/2017,1:00 p.m.,sábado,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,SOLO DAÑOS,Choque,Poner en marcha un vehiculo sin precauci,Transversal 36  Sur Diagonal 32,LOS NARANJOS,Urbana,"(6.168381521, -75.580644557)"
2173365,11/10/2017,10:30 p.m.,viernes,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,SOLO DAÑOS,Choque,Poner en marcha un vehiculo sin precauci,Tramo 372 Kilometro  13,VEREDA PALMAS,Rural,
2173365,11/10/2017,10:30 p.m.,viernes,CAMPERO,PARTICULAR,Conductor,Femenino,NO,N/A,SOLO DAÑOS,Choque,Poner en marcha un vehiculo sin precauci,Tramo 372 Kilometro  13,VEREDA PALMAS,Rural,
2173400,11/10/2017,10:02 p.m.,viernes,BICICLETA,N/A,Ciclista,Masculino,NO,N/A,HERIDO,Choque,No mantener distancia de seguridad,Carrera 27 G Calle 28  Sur,VEREDA EL ESCOBERO,Urbana,
2173400,11/10/2017,10:02 p.m.,viernes,AUTOMOVIL,PARTICULAR,Conductor,Femenino,NO,N/A,HERIDO,Choque,No mantener distancia de seguridad,Carrera 27 G Calle 28  Sur,VEREDA EL ESCOBERO,Urbana,
2173399,11/10/2017,9:40 a.m.,viernes,CAMIONETA,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Carga sobresaliente sin autorizacion,Calle 38  Sur Carrera 45 A,ALCALA,Urbana,"(6.17126287, -75.59030689)"
2173358,11/10/2017,8:20 p.m.,viernes,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,HERIDO,Choque,Superficie humeda,Tramo 371 Kilometro  5,VEREDA EL ESCOBERO,Rural,
2173397,11/10/2017,4:40 p.m.,viernes,BUSETA,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 37  Sur Carrera 49,GLORIETA DE PELDAR,Urbana,"(6.174789471, -75.594204243)"
2173397,11/10/2017,4:40 p.m.,viernes,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 37  Sur Carrera 49,GLORIETA DE PELDAR,Urbana,"(6.174789471, -75.594204243)"
2173399,11/10/2017,9:40 a.m.,viernes,CAMIONETA,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 38  Sur Carrera 45 A,ALCALA,Urbana,"(6.17126287, -75.59030689)"
2173399,11/10/2017,9:40 a.m.,viernes,CAMIONETA,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Carga sobresaliente sin autorizacion,Calle 38  Sur Carrera 45 A,ALCALA,Urbana,"(6.17126287, -75.59030689)"
2173399,11/10/2017,9:40 a.m.,viernes,CAMIONETA,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 38  Sur Carrera 45 A,ALCALA,Urbana,"(6.17126287, -75.59030689)"
2173443,11/10/2017,6:30 p.m.,viernes,AUTOMOVIL,PARTICULAR,Conductor,Femenino,NO,N/A,SOLO DAÑOS,Choque,No respetar prelacion,Carrera 42 Calle 33 B Sur,ZONA CENTRO,Urbana,"(6.172431982, -75.585528606)"
2173443,11/10/2017,6:30 p.m.,viernes,CAMION,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No respetar prelacion,Carrera 42 Calle 33 B Sur,ZONA CENTRO,Urbana,"(6.172431982, -75.585528606)"
2173394,11/10/2017,6:30 p.m.,viernes,MOTOCICLETA,PARTICULAR,Motociclista,Femenino,NO,N/A,HERIDO,Choque,Desobedecer senales,Transversal 35  Sur Diagonal 31,LA SEBASTIANA,Urbana,"(6.170190736, -75.579672186)"
2173394,11/10/2017,6:30 p.m.,viernes,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,HERIDO,Choque,Desobedecer senales,Transversal 35  Sur Diagonal 31,LA SEBASTIANA,Urbana,"(6.170190736, -75.579672186)"
2173381,11/10/2017,8:30 a.m.,viernes,AUTOMOVIL,PUBLICO,Conductor,Masculino,NO,N/A,HERIDO,Choque,No mantener distancia de seguridad,Carrera 50 Calle 37  Sur,LAS VEGAS,Urbana,
2173375,11/10/2017,5:20 p.m.,viernes,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,SOLO DAÑOS,Choque,Adelantar en zona prohibida,Calle 32  Sur Carrera 47,EL PORTAL,Urbana,"(6.17760103, -75.589482581)"
2173381,11/10/2017,8:30 a.m.,viernes,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,HERIDO,Choque,No mantener distancia de seguridad,Carrera 50 Calle 37  Sur,LAS VEGAS,Urbana,
2173375,11/10/2017,5:20 p.m.,viernes,AUTOMOVIL,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Transitar entre vehiculos,Calle 32  Sur Carrera 47,EL PORTAL,Urbana,"(6.17760103, -75.589482581)"
2173375,11/10/2017,5:20 p.m.,viernes,AUTOMOVIL,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Adelantar en zona prohibida,Calle 32  Sur Carrera 47,EL PORTAL,Urbana,"(6.17760103, -75.589482581)"
2173375,11/10/2017,5:20 p.m.,viernes,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,SOLO DAÑOS,Choque,Transitar entre vehiculos,Calle 32  Sur Carrera 47,EL PORTAL,Urbana,"(6.17760103, -75.589482581)"
2173383,11/10/2017,9:16 a.m.,viernes,CAMIONETA,PARTICULAR,Conductor,Femenino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 48 C Sur Carrera 46,LAS CASITAS,Urbana,"(6.162854875, -75.599744367)"
2173383,11/10/2017,9:16 a.m.,viernes,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 48 C Sur Carrera 46,LAS CASITAS,Urbana,"(6.162854875, -75.599744367)"
2173369,11/10/2017,12:10 p.m.,viernes,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,SOLO DAÑOS,Choque,Transitar entre vehiculos,Calle 38 A Sur Carrera 41,ZONA CENTRO,Urbana,"(6.168560755, -75.587015366)"
2173369,11/10/2017,12:10 p.m.,viernes,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Transitar entre vehiculos,Calle 38 A Sur Carrera 41,ZONA CENTRO,Urbana,"(6.168560755, -75.587015366)"
2173416,11/10/2017,10:05 a.m.,viernes,CAMIONETA,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Tramo 372 Kilometro  13,VEREDA PALMAS,Rural,
2173416,11/10/2017,10:05 a.m.,viernes,CAMIONETA,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Tramo 372 Kilometro  13,VEREDA PALMAS,Rural,
2173430,11/10/2017,12:00 p.m.,viernes,BUS,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No respetar prelacion,Calle 46 E Sur Carrera 42,EL TRIANON,Urbana,"(6.161931332, -75.593584955)"
2173430,11/10/2017,12:00 p.m.,viernes,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,SOLO DAÑOS,Choque,No respetar pelacion de interseccion o giros,Calle 46 E Sur Carrera 42,EL TRIANON,Urbana,"(6.161931332, -75.593584955)"
2173430,11/10/2017,12:00 p.m.,viernes,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,SOLO DAÑOS,Choque,No respetar prelacion,Calle 46 E Sur Carrera 42,EL TRIANON,Urbana,"(6.161931332, -75.593584955)"
2173430,11/10/2017,12:00 p.m.,viernes,BUS,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No respetar pelacion de interseccion o giros,Calle 46 E Sur Carrera 42,EL TRIANON,Urbana,"(6.161931332, -75.593584955)"
2173384,11/10/2017,12:00 p.m.,viernes,AUTOMOVIL,PARTICULAR,Conductor,Femenino,NO,N/A,SOLO DAÑOS,Choque,Poner en marcha un vehiculo sin precauci,Calle 39  Sur Carrera 43,ZONA CENTRO,Urbana,"(6.168678771, -75.58876156)"
2173384,11/10/2017,12:00 p.m.,viernes,BUS,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Poner en marcha un vehiculo sin precauci,Calle 39  Sur Carrera 43,ZONA CENTRO,Urbana,"(6.168678771, -75.58876156)"
2173382,11/10/2017,12:00 p.m.,viernes,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,SOLO DAÑOS,Choque,Transitar entre vehiculos,Carrera 41 Calle 39  Sur,EL DORADO,Urbana,"(6.167744498, -75.587422395)"
2173382,11/10/2017,12:00 p.m.,viernes,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Transitar entre vehiculos,Carrera 41 Calle 39  Sur,EL DORADO,Urbana,"(6.167744498, -75.587422395)"
2173374,11/10/2017,4:00 p.m.,viernes,CAMIONETA,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 48 Calle 35  Sur,GLORIETA EXITO,Urbana,"(6.174910353, -75.591144032)"
2173374,11/10/2017,4:00 p.m.,viernes,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 48 Calle 35  Sur,GLORIETA EXITO,Urbana,"(6.174910353, -75.591144032)"
2173361,11/09/2017,5:40 p.m.,jueves,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,HERIDO,Choque,Impericia en el manejo,Tramo 372 Kilometro  13,VEREDA PALMAS,Rural,
2173361,11/09/2017,5:40 p.m.,jueves,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,HERIDO,Choque,Exceso de velocidad,Tramo 372 Kilometro  13,VEREDA PALMAS,Rural,
2173350,11/09/2017,9:57 p.m.,jueves,AUTOMOVIL,PARTICULAR,Conductor,Femenino,NO,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 31 A Sur Carrera 43 A,SAN MARCOS,Urbana,"(6.17641909, -75.585561331)"
2173350,11/09/2017,9:57 p.m.,jueves,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 31 A Sur Carrera 43 A,SAN MARCOS,Urbana,"(6.17641909, -75.585561331)"
2173367,11/09/2017,9:50 p.m.,jueves,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,HERIDO,Choque,Transitar entre vehiculos,Calle 40 B Sur Carrera 40 A,EL DORADO,Urbana,"(6.165969162, -75.587800133)"
2173367,11/09/2017,9:50 p.m.,jueves,CAMPERO,PARTICULAR,Conductor,Masculino,NO,N/A,HERIDO,Choque,Transitar entre vehiculos,Calle 40 B Sur Carrera 40 A,EL DORADO,Urbana,"(6.165969162, -75.587800133)"
2173362,11/09/2017,9:50 p.m.,jueves,MOTOCICLETA,PARTICULAR,Motociclista,Femenino,NO,N/A,HERIDO,Choque,Semaforo en rojo,Carrera 48 Calle 25  Sur,LAS VEGAS,Urbana,"(6.185059174, -75.58329333)"
2173362,11/09/2017,9:50 p.m.,jueves,MOTOCICLETA,PARTICULAR,Motociclista,Femenino,NO,N/A,HERIDO,Choque,Semaforo en rojo,Carrera 48 Calle 25  Sur,LAS VEGAS,Urbana,"(6.185059174, -75.58329333)"
2173364,11/09/2017,1:40 p.m.,jueves,CAMIONETA,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Adelantar cerrando,Carrera 43 A Calle 38  Sur,ZONA CENTRO,Urbana,"(6.170421178, -75.588598773)"
2173364,11/09/2017,1:40 p.m.,jueves,CAMION,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Adelantar cerrando,Carrera 43 A Calle 38  Sur,ZONA CENTRO,Urbana,"(6.170421178, -75.588598773)"
2173354,11/09/2017,6:00 p.m.,jueves,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 48 Calle 36  Sur,LAS VEGAS,Urbana,"(6.173906662, -75.591875412)"
2173354,11/09/2017,6:00 p.m.,jueves,CAMPERO,PARTICULAR,Conductor,Femenino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 48 Calle 36  Sur,LAS VEGAS,Urbana,"(6.173906662, -75.591875412)"
2173372,11/09/2017,6:15 a.m.,jueves,CAMPERO,PARTICULAR,Conductor,Femenino,NO,N/A,SOLO DAÑOS,Choque,Adelantar cerrando,Calle 25  Sur Carrera 47,ZU├æIGA,Urbana,
2173372,11/09/2017,6:15 a.m.,jueves,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Adelantar cerrando,Calle 25  Sur Carrera 47,ZU├æIGA,Urbana,
2173363,11/09/2017,3:00 p.m.,jueves,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Transversal 36 Diagonal 30,LA SEBASTIANA,Urbana,"(6.168076323, -75.579944151)"
2173363,11/09/2017,3:00 p.m.,jueves,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,SOLO DAÑOS,Choque,Exceso de velocidad,Transversal 36 Diagonal 30,LA SEBASTIANA,Urbana,"(6.168076323, -75.579944151)"
2173363,11/09/2017,3:00 p.m.,jueves,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Transversal 36 Diagonal 30,LA SEBASTIANA,Urbana,"(6.168076323, -75.579944151)"
2173363,11/09/2017,3:00 p.m.,jueves,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Exceso de velocidad,Transversal 36 Diagonal 30,LA SEBASTIANA,Urbana,"(6.168076323, -75.579944151)"
2173332,11/08/2017,5:50 p.m.,miércoles,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 38 A Sur Carrera 46,ALCALA,Urbana,"(6.171457357, -75.591576633)"
2173332,11/08/2017,5:50 p.m.,miércoles,CAMIONETA,OFICIAL,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 38 A Sur Carrera 46,ALCALA,Urbana,"(6.171457357, -75.591576633)"
2173349,11/08/2017,10:50 a.m.,miércoles,CAMIONETA,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Carrera 43 A Calle 36  Sur,ZONA CENTRO,Urbana,"(6.171753325, -75.587727675)"
2173349,11/08/2017,10:50 a.m.,miércoles,BUS,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Carrera 43 A Calle 36  Sur,ZONA CENTRO,Urbana,"(6.171753325, -75.587727675)"
2173366,11/08/2017,9:55 a.m.,miércoles,CAMIONETA,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 50 Calle 30  Sur,LAS VEGAS,Urbana,
2173366,11/08/2017,9:55 a.m.,miércoles,CAMPERO,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 50 Calle 30  Sur,LAS VEGAS,Urbana,
2173366,11/08/2017,9:55 a.m.,miércoles,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 50 Calle 30  Sur,LAS VEGAS,Urbana,
2173366,11/08/2017,9:55 a.m.,miércoles,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 50 Calle 30  Sur,LAS VEGAS,Urbana,
2173351,11/08/2017,11:50 a.m.,miércoles,AUTOMOVIL,PARTICULAR,Conductor,Femenino,NO,N/A,SOLO DAÑOS,Choque,Adelantar cerrando,Calle 37  Sur Carrera 50,LAS VEGAS,Urbana,
2173351,11/08/2017,11:50 a.m.,miércoles,CAMION,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,Adelantar cerrando,Calle 37  Sur Carrera 50,LAS VEGAS,Urbana,
2173355,11/08/2017,5:30 p.m.,miércoles,AUTOMOVIL,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 43 A Calle 36  Sur,ZONA CENTRO,Urbana,"(6.171753325, -75.587727675)"
2173355,11/08/2017,5:30 p.m.,miércoles,BUS,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 43 A Calle 36  Sur,ZONA CENTRO,Urbana,"(6.171753325, -75.587727675)"
2173333,11/08/2017,12:40 p.m.,miércoles,MOTOCICLETA,PARTICULAR,Motociclista,Femenino,NO,N/A,HERIDO,Choque,Poner en marcha un vehiculo sin precauci,Carrera 42 Calle 35  Sur,ZONA CENTRO,Urbana,"(6.171623749, -75.586043385)"
2173333,11/08/2017,12:40 p.m.,miércoles,AUTOMOVIL,PUBLICO,Conductor,Masculino,NO,N/A,HERIDO,Choque,Poner en marcha un vehiculo sin precauci,Carrera 42 Calle 35  Sur,ZONA CENTRO,Urbana,"(6.171623749, -75.586043385)"
2173360,11/08/2017,8:50 p.m.,miércoles,CAMIONETA,PARTICULAR,Conductor,Masculino,NO,N/A,HERIDO,Choque,Impericia en el manejo,Tramo 371 Kilometro  5,VEREDA EL ESCOBERO,Rural,
2173360,11/08/2017,8:50 p.m.,miércoles,CAMIONETA,PARTICULAR,Conductor,Masculino,NO,N/A,HERIDO,Choque,Exceso de velocidad,Tramo 371 Kilometro  5,VEREDA EL ESCOBERO,Rural,
2173359,11/08/2017,2:15 p.m.,miércoles,MOTOCICLETA,PARTICULAR,Motociclista,Femenino,NO,N/A,HERIDO,Choque,No respetar prelacion,Calle 37  Sur Carrera 50,LAS VEGAS,Urbana,
2173359,11/08/2017,2:15 p.m.,miércoles,CAMION,PUBLICO,Conductor,Masculino,NO,N/A,HERIDO,Choque,No respetar prelacion,Calle 37  Sur Carrera 50,LAS VEGAS,Urbana,
2173359,11/08/2017,2:15 p.m.,miércoles,CAMIONETA,PARTICULAR,Conductor,Masculino,NO,N/A,HERIDO,Choque,No respetar prelacion,Calle 37  Sur Carrera 50,LAS VEGAS,Urbana,
2173341,11/08/2017,7:11 a.m.,miércoles,CAMIONETA,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 37 Carrera 50,GLORIETA EXITO,Urbana,
2173341,11/08/2017,7:11 a.m.,miércoles,CAMIONETA,PARTICULAR,Conductor,Femenino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 37 Carrera 50,GLORIETA EXITO,Urbana,
2173329,11/08/2017,6:10 p.m.,miércoles,BUS,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 50  Sur Carrera 48,LAS CASITAS,Urbana,
2173329,11/08/2017,6:10 p.m.,miércoles,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 50  Sur Carrera 48,LAS CASITAS,Urbana,
2173357,11/08/2017,7:40 p.m.,miércoles,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,HERIDO,Atropello,Impericia en el manejo,Carrera 40 Calle 40 DD Sur,EL DORADO,Urbana,"(6.164571512, -75.588971264)"
2173357,11/08/2017,7:40 p.m.,miércoles,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,HERIDO,Atropello,Cruzar sin observar,Carrera 40 Calle 40 DD Sur,EL DORADO,Urbana,"(6.164571512, -75.588971264)"
2173356,11/08/2017,6:00 p.m.,miércoles,AUTOMOVIL,PARTICULAR,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 37  Sur Carrera 28,VEREDA EL ESCOBERO,Urbana,"(6.165679454, -75.578340422)"
2173356,11/08/2017,6:00 p.m.,miércoles,BUS,PUBLICO,Conductor,Masculino,NO,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 37  Sur Carrera 28,VEREDA EL ESCOBERO,Urbana,"(6.165679454, -75.578340422)"
